analysis_type,member_casual,dimension,sort_order,total_rides,avg_ride_mins
by_day,casual,Sunday,1,330872,22.1
by_day,casual,Monday,2,227732,19
by_day,casual,Tuesday,3,225142,17
by_day,casual,Wednesday,4,221089,15.8
by_day,casual,Thursday,5,257511,16.8
by_day,casual,Friday,6,319273,18.8
by_day,casual,Saturday,7,413130,21.5
by_day,member,Sunday,1,382160,13.2
by_day,member,Monday,2,502639,11.5
by_day,member,Tuesday,3,562925,11.6
by_day,member,Wednesday,4,550002,11.4
by_day,member,Thursday,5,575832,11.5
by_day,member,Friday,6,528838,11.9
by_day,member,Saturday,7,450034,13
by_hour,casual,0,0,38847,15.5
by_hour,casual,1,1,24891,15.8
by_hour,casual,10,10,85416,23.2
by_hour,casual,11,11,109327,23.3
by_hour,casual,12,12,128511,22.3
by_hour,casual,13,13,131667,22.4
by_hour,casual,14,14,138527,22.1
by_hour,casual,15,15,153907,20.6
by_hour,casual,16,16,175317,19.2
by_hour,casual,17,17,190211,18.5
by_hour,casual,18,18,163415,17.9
by_hour,casual,19,19,121491,17.7
by_hour,casual,2,2,16633,15.5
by_hour,casual,20,20,87724,17
by_hour,casual,21,21,74869,16.5
by_hour,casual,22,22,63226,16.3
by_hour,casual,23,23,45844,16.7
by_hour,casual,3,3,9183,14.9
by_hour,casual,4,4,7269,13.6
by_hour,casual,5,5,11408,14
by_hour,casual,6,6,26523,13
by_hour,casual,7,7,49544,13.6
by_hour,casual,8,8,70311,14.8
by_hour,casual,9,9,70688,19.7
by_hour,member,0,0,32451,11.1
by_hour,member,1,1,19975,11.1
by_hour,member,10,10,143697,11.7
by_hour,member,11,11,168751,12
by_hour,member,12,12,190571,11.6
by_hour,member,13,13,185292,11.9
by_hour,member,14,14,188215,12.4
by_hour,member,15,15,236946,12.4
by_hour,member,16,16,334172,12.7
by_hour,member,17,17,381701,12.9
by_hour,member,18,18,295810,12.4
by_hour,member,19,19,204690,12.1
by_hour,member,2,2,12006,11.2
by_hour,member,20,20,141451,12
by_hour,member,21,21,110582,11.9
by_hour,member,22,22,80629,11.9
by_hour,member,23,23,50234,12.1
by_hour,member,3,3,7941,11.7
by_hour,member,4,4,8875,10.7
by_hour,member,5,5,34201,10.7
by_hour,member,6,6,100905,11
by_hour,member,7,7,199681,11
by_hour,member,8,8,256534,10.9
by_hour,member,9,9,167120,10.7
by_month,casual,January,1,24075,11.6
by_month,casual,October,10,223566,17.4
by_month,casual,November,11,98866,14.8
by_month,casual,December,12,28025,12.5
by_month,casual,February,2,27707,12.1
by_month,casual,March,3,85656,17.3
by_month,casual,April,4,108966,18
by_month,casual,May,5,182261,20.1
by_month,casual,June,6,291131,21
by_month,casual,July,7,322495,20.5
by_month,casual,August,8,337233,20.8
by_month,casual,September,9,264768,18.8
by_month,member,January,1,114506,9.8
by_month,member,October,10,421912,11.9
by_month,member,November,11,257252,11.4
by_month,member,December,12,112401,11.4
by_month,member,February,2,124121,9.8
by_month,member,March,3,212219,10.9
by_month,member,April,4,262093,11.1
by_month,member,May,5,319738,11.7
by_month,member,June,6,386697,12.6
by_month,member,July,7,439955,12.9
by_month,member,August,8,452342,12.8
by_month,member,September,9,449194,12.4
